CPU: ID 0x806c1, Processor Type 0x0, Family 0x6, Model 0x8c, Stepping 0x1
Northbridge: 8086:9a14 (11th generation (Tiger Lake UP3 family) Core Processor (Mobile))
Southbridge: 8086:a088 (Tiger Point Embedded IOTG)
IGD: 8086:9a49 (Intel(R) Iris Xe Graphics)
SBREG_BAR = 0xfd000000 (MEM)


============= GPIOS =============

------- GPIO Community 0 -------

PCR Port ID: 0x6e0000

------- GPIO Group GPP_B -------
0x0700: 0x0003c01844000700 GPP_B0       CORE_VID0           
0x0710: 0x0003c01944000700 GPP_B1       CORE_VID1           
0x0720: 0x0000001a44000300 GPP_B2       GPIO                
0x0730: 0x0000001b44000300 GPP_B3       GPIO                
0x0740: 0x0000001c44000300 GPP_B4       GPIO                
0x0750: 0x0000001d44000300 GPP_B5       GPIO                
0x0760: 0x0000001e44000300 GPP_B6       GPIO                
0x0770: 0x0000001f44000300 GPP_B7       GPIO                
0x0780: 0x0000002044000300 GPP_B8       GPIO                
0x0790: 0x00002c2184000201 GPP_B9       GPIO                
0x07a0: 0x00002c2284000201 GPP_B10      GPIO                
0x07b0: 0x0000002304000702 GPP_B11      PMCALERT#           
0x07c0: 0x0003c02444000700 GPP_B12      SLP_S0#             
0x07d0: 0x0003c02544000700 GPP_B13      PLTRST#             
0x07e0: 0x0003c02644000a00 GPP_B14      TIME_SYNC1          
0x07f0: 0x0000002744000300 GPP_B15      GPIO                
0x0800: 0x0000302884000201 GPP_B16      GPIO                
0x0810: 0x0000002944000300 GPP_B17      GPIO                
0x0820: 0x0000002a44000200 GPP_B18      GPIO                
0x0830: 0x0000002b44000700 GPP_B19      GSPI1_CS0#          
0x0840: 0x0000002c44000700 GPP_B20      GSPI1_CLK           
0x0850: 0x0001002d44000702 GPP_B21      GSPI1_MISO          
0x0860: 0x0000002e44000600 GPP_B22      GSPI1_MOSI          
0x0870: 0x0000002f44000e00 GPP_B23      GSPI1_CS1#          
0x0880: 0x0000000040000700 GSPI0_CLK_LOOPBK GSPI0_CLK_LOOPBK    
0x0890: 0x0000000040000700 GSPI1_CLK_LOOPBK GSPI1_CLK_LOOPBK    
------- GPIO Group GPP_T (TGL UP3 only) -------
0x08a0: 0x0000003044000300 GPP_T0       GPIO                
0x08b0: 0x0000003144000300 GPP_T1       GPIO                
0x08c0: 0x0000003284000102 GPP_T2       GPIO                
0x08d0: 0x0000003384000100 GPP_T3       GPIO                
0x08e0: 0x0000003444000300 GPP_T4       GPIO                
0x08f0: 0x0000003544000300 GPP_T5       GPIO                
0x0900: 0x0000003644000300 GPP_T6       GPIO                
0x0910: 0x0000003744000300 GPP_T7       GPIO                
0x0920: 0x0000003844000300 GPP_T8       GPIO                
0x0930: 0x0000003944000300 GPP_T9       GPIO                
0x0940: 0x0000003a44000300 GPP_T10      GPIO                
0x0950: 0x0000003b44000300 GPP_T11      GPIO                
0x0960: 0x0000003c44000300 GPP_T12      GPIO                
0x0970: 0x0000003d44000300 GPP_T13      GPIO                
0x0980: 0x0000003e44000300 GPP_T14      GPIO                
0x0990: 0x0000003f44000300 GPP_T15      GPIO                
------- GPIO Group GPP_A -------
