i2c-0	smbus     	SMBus I801 adapter at 0000:00:1f.4	SMBus adapter
i2c-1	i2c       	Synopsys DesignWare I2C adapter 	I2C adapter
i2c-2	i2c       	Synopsys DesignWare I2C adapter 	I2C adapter
i2c-3	i2c       	Synopsys DesignWare I2C adapter 	I2C adapter
i2c-4	i2c       	Synopsys DesignWare I2C adapter 	I2C adapter
i2c-5	i2c       	Synopsys DesignWare I2C adapter 	I2C adapter
i2c-6	i2c       	i915 gmbus dpa                  	I2C adapter
i2c-7	i2c       	i915 gmbus dpb                  	I2C adapter
i2c-8	i2c       	i915 gmbus dpc                  	I2C adapter
i2c-9	i2c       	i915 gmbus tc1                  	I2C adapter
i2c-10	i2c       	i915 gmbus tc2                  	I2C adapter
i2c-11	i2c       	i915 gmbus tc3                  	I2C adapter
i2c-12	i2c       	i915 gmbus tc4                  	I2C adapter
i2c-13	i2c       	i915 gmbus tc5                  	I2C adapter
i2c-14	i2c       	i915 gmbus tc6                  	I2C adapter
i2c-15	i2c       	AUX USBC1/DDI TC1/PHY TC1       	I2C adapter
i2c-16	i2c       	AUX USBC2/DDI TC2/PHY TC2       	I2C adapter
i2c-17	i2c       	AUX USBC3/DDI TC3/PHY TC3       	I2C adapter
i2c-18	i2c       	AUX USBC4/DDI TC4/PHY TC4       	I2C adapter
